query_order,round,flat_index,row_index,row_label,algorithm_index,algorithm,proposed_by_mu,proposed_by_ca,utility,cost_acquisition,predicted_runtime_mean,predicted_runtime_sd,affordable_repetitions,projected_gain,score,runtime
3270,62,3732,533,2a9z_26A_A_1001,1,unimol,True,False,0.9099097,0.55795742,22.941999,0,6912,6289.2958,0,21.13
3271,62,1777,253,1lro_PEP_A_1268,6,smina,False,True,0.43010828,0.93028052,0.94537288,0,14572,6267.5378,0.037611107,0.92150848
3272,62,6154,879,3mk1_NPO_A_911,1,unimol,True,False,0.8680857,0.56560402,21.99613,0,7209,6258.0298,0.77704057,17.27
3273,62,2206,315,1ov5_2LP_A_403,1,unimol,True,False,0.87056266,0.56597701,22.080206,0,7181,6251.5105,0.99478198,16.45
3274,62,3900,557,2bx7_34D_B_1313,1,unimol,True,False,0.86735205,0.564821,22.063435,0,7187,6233.6592,0.86320922,16.28
3275,62,15422,2203,6gpn_OGA_B_402,1,unimol,True,False,0.87094277,0.56364444,22.337814,0,7099,6182.8227,0.92691014,22.52
3276,62,1161,165,1h8p_PC_B_1111,6,smina,False,True,0.42367452,0.91499263,1.073611,0,14572,6173.7851,0,1.3412696
3277,62,2071,295,1ns4_BGC_B_2400,6,smina,False,True,0.42345195,0.90751787,1.0387837,0,14572,6170.5418,0.95397826,0.82664297
3278,62,3611,515,1zha_PEP_B_2268,6,smina,False,True,0.42345195,0.90711977,1.0423696,0,14572,6170.5418,0.0032420671,1.0086472
3279,62,10051,1435,4rp9_ASC_A_501,6,smina,False,True,0.42345195,0.91116377,1.0061314,0,14572,6170.5418,0.96157962,0.92233007
3280,63,14888,2126,6c1x_DNX_A_203,6,smina,False,True,0.65558634,1.2052343,1.0283334,0,14522,9520.4249,0,1.0194681
3281,63,244,34,1ca7_ENO_A_501,6,smina,False,True,0.65423013,1.2027494,1.0444866,0,14522,9500.7299,0.53163124,1.1756886
3282,63,4199,599,2ef9_PEP_B_2268,6,smina,False,True,0.58010393,1.2011462,1.0430024,0,14522,8424.2693,0.78803941,1.0306002
3283,63,10567,1509,4xz9_G3P_C_302,4,gnina,False,True,0.57851524,0.96735501,3.1916673,0,14522,8401.1983,0.10556462,2.6662969
3284,63,17714,2530,7bp1_CAQ_C_401,4,gnina,False,True,0.57762918,0.97326147,3.1140752,0,14522,8388.3309,0.99411729,3.3183897
3285,63,8992,1284,4jwx_1N4_A_301,4,gnina,False,True,0.57625253,0.9430408,3.4944744,0,14522,8368.3393,0.98708271,3.0169853
3286,63,8999,1285,4jxh_HRC_A_301,4,gnina,False,True,0.57461085,0.96006581,3.2667897,0,14522,8344.4988,0.0011788271,3.669468
3287,63,4743,677,2j5z_GAL_A_1278,4,gnina,False,True,0.57195868,0.96873592,3.1544077,0,14522,8305.9839,0.00093620012,1.9635033
3288,63,8880,1268,4ixw_IXW_A_302,4,gnina,False,True,0.56683283,0.96886258,3.1480601,0,14522,8231.5464,0.78511343,1.6530542
3289,63,2211,315,1ov5_2LP_A_403,6,smina,False,True,0.56571315,1.1778781,1.1850139,0,14522,8215.2864,0.99529623,1.0684163
3290,63,6339,905,3rop_NCA_A_302,4,gnina,False,True,0.55629756,0.97800569,3.0311399,0,14522,8078.5531,0.00024541566,1.7519699
